AGE,GENDER,CITY,FOOD_TYPE,JOB,STATE,AGE GROUP
25,M,Khannauj,Italian,Service,Uttar Pradesh,Working
23,M,Patiala,Lebanese,Bank,Punjab,Working
66,F,Faridkot,Chinese,Data Scientist,Punjab,Senior Citizen
63,F,Buxar,North Indian,Data Scientist,Bihar,Senior Citizen
3,M,Bodh Gaya,Street Food,CA,Bihar,Young
35,F,Jaisalmer,Thai,Bank,Rajasthan,Working
70,F,Baramulla,Punjabi,Service,Jammu,Senior Citizen
33,M,Bareily,Thai,Driver,Uttar Pradesh,Working
95,M,Faridkot,Lebanese,Business,Punjab,Senior Citizen
26,F,Kanpur,Street Food,Software Engineer,Uttar Pradesh,Working
3,M,Dalhousie,Continental,Self Employed,Himachal Pradesh,Young
14,F,Muzzafarpur,Lebanese,Software Engineer,Bihar,Young
80,F,Ambala,Italian,Self Employed,Haryana,Senior Citizen
7,M,Faridabad,Punjabi,Bank,Haryana,Young
99,F,Rajgir,Thai,Service,Bihar,Senior Citizen
13,M,Khajjar,Street Food,Teacher,Himachal Pradesh,Young
64,F,Faridkot,Chinese,Service,Punjab,Senior Citizen
83,F,Haridwar,Continental,Government Job,Uttarakhand,Senior Citizen
82,M,Kathua,Punjabi,Driver,Jammu,Senior Citizen
49,F,Kullu,North Indian,Software Engineer,Himachal Pradesh,Working
97,M,Udaipur,Continental,Software Engineer,Rajasthan,Senior Citizen
67,M,Manali,Lebanese,Service,Himachal Pradesh,Senior Citizen
35,M,Kathua,Thai,Business,Jammu,Working
23,M,Baramulla,Chinese,Software Engineer,Jammu,Working
56,F,Rewari,North Indian,Service,Haryana,Working
65,F,Rorkee,Chinese,Government Job,Uttarakhand,Senior Citizen
44,M,Dharamshala,Punjabi,Business,Himachal Pradesh,Working
44,F,Jammu,Street Food,Driver,Jammu,Working
44,M,Patna,North Indian,CA,Bihar,Working
15,F,Shimla,Lebanese,MNC,Himachal Pradesh,Young
89,M,Shimla,Punjabi,Self Employed,Himachal Pradesh,Senior Citizen
74,F,Shimla,Punjabi,MNC,Himachal Pradesh,Senior Citizen
37,F,Kathua,Thai,Driver,Jammu,Working
8,M,Agra,Mughlai,Driver,Uttar Pradesh,Young
19,M,Hisar,Lebanese,Software Engineer,Haryana,Young
6,M,Khajjar,Thai,Software Engineer,Himachal Pradesh,Young
2,F,Udaipur,Street Food,Data Scientist,Rajasthan,Young
56,M,Amritsar,Italian,Business,Punjab,Working
92,M,Dalhousie,Lebanese,CA,Himachal Pradesh,Senior Citizen
46,F,Buxar,Italian,Data Scientist,Bihar,Working
26,F,Gulmarg,Lebanese,MNC,Jammu,Working
78,F,Bhilwara,Italian,Government Job,Rajasthan,Senior Citizen
1,M,Nainital,Chinese,Software Engineer,Uttarakhand,Young
12,F,Srinagar,Italian,Teacher,Jammu,Young
85,M,Bikaner,Punjabi,MNC,Rajasthan,Senior Citizen
95,M,Pittorgarh,Italian,Service,Uttarakhand,Senior Citizen
61,F,Bhilwara,Street Food,Bank,Rajasthan,Senior Citizen
9,F,Agra,Chinese,Software Engineer,Uttar Pradesh,Young
58,M,Varanasi,Mughlai,MNC,Uttar Pradesh,Working
87,M,Patiala,Mughlai,Business,Punjab,Senior Citizen
36,F,Varanasi,Chinese,Bank,Uttar Pradesh,Working
97,F,Buxar,Punjabi,Self Employed,Bihar,Senior Citizen
46,F,Manali,Italian,Driver,Himachal Pradesh,Working
98,F,Faridabad,Street Food,Service,Haryana,Senior Citizen
30,F,Noida,Street Food,Data Scientist,Uttar Pradesh,Working
42,M,Nainital,Street Food,Driver,Uttarakhand,Working
19,F,Jaipur,Lebanese,Teacher,Rajasthan,Young
64,F,Lucknow,Street Food,Business,Uttar Pradesh,Senior Citizen
31,M,Dalhousie,Lebanese,Software Engineer,Himachal Pradesh,Working
83,M,Jaisalmer,Mughlai,CA,Rajasthan,Senior Citizen
25,M,Nainital,Thai,Self Employed,Uttarakhand,Working
41,M,Patiala,Mughlai,Driver,Punjab,Working
80,M,Chittorgarh,Thai,Driver,Rajasthan,Senior Citizen
70,F,Agra,Continental,Self Employed,Uttar Pradesh,Senior Citizen
20,M,Gurgaon,Street Food,Service,Haryana,Young
40,M,Baramulla,Thai,Business,Jammu,Working
32,F,Srinagar,Thai,Self Employed,Jammu,Working
46,M,Rohtak,Mughlai,CA,Haryana,Working
91,M,Kathua,Continental,Data Scientist,Jammu,Senior Citizen
71,F,Bareily,Chinese,Government Job,Uttar Pradesh,Senior Citizen
44,M,Varanasi,Thai,Government Job,Uttar Pradesh,Working
96,F,Darbhanga,Mughlai,Government Job,Bihar,Senior Citizen
23,M,Delhi,Punjabi,Self Employed,Union Territory,Working
70,M,Khajjar,Chinese,Driver,Himachal Pradesh,Senior Citizen
20,M,Varanasi,Chinese,Bank,Uttar Pradesh,Young
24,M,Udaipur,Chinese,Teacher,Rajasthan,Working
46,F,Srinagar,Chinese,Business,Jammu,Working
57,F,Kasauli,Chinese,Driver,Himachal Pradesh,Working
81,M,Delhi,Continental,CA,Union Territory,Senior Citizen
41,F,Jodhpur,Punjabi,Government Job,Rajasthan,Working
68,F,Rorkee,Italian,Data Scientist,Uttarakhand,Senior Citizen
22,F,Shimla,Mughlai,Self Employed,Himachal Pradesh,Working
64,F,Lucknow,Street Food,Teacher,Uttar Pradesh,Senior Citizen
33,M,Haridwar,Punjabi,Data Scientist,Uttarakhand,Working
11,F,Rohtak,Italian,Government Job,Haryana,Young
89,F,Chittorgarh,Italian,Driver,Rajasthan,Senior Citizen
11,F,Kasauli,Thai,CA,Himachal Pradesh,Young
13,M,Jodhpur,Italian,CA,Rajasthan,Young
67,F,Amritsar,Thai,Software Engineer,Punjab,Senior Citizen
98,F,Gulmarg,Chinese,Service,Jammu,Senior Citizen
12,M,Mussoorie,Punjabi,Service,Uttarakhand,Young
79,F,Rajgir,Street Food,Driver,Bihar,Senior Citizen
81,M,Chittorgarh,Thai,Data Scientist,Rajasthan,Senior Citizen
60,F,Patna,Thai,CA,Bihar,Working
6,F,Rajgir,Street Food,Service,Bihar,Young
87,F,Lucknow,Mughlai,Business,Uttar Pradesh,Senior Citizen
75,F,Amritsar,Mughlai,CA,Punjab,Senior Citizen
31,M,Bathinda,Continental,Software Engineer,Punjab,Working
98,F,Jaisalmer,Punjabi,Data Scientist,Rajasthan,Senior Citizen
3,M,Buxar,Lebanese,Bank,Bihar,Young
86,M,Khajjar,Punjabi,Teacher,Himachal Pradesh,Senior Citizen
41,F,Pittorgarh,Continental,MNC,Uttarakhand,Working
55,F,Una,Continental,Driver,Himachal Pradesh,Working
61,M,Faridabad,Chinese,Software Engineer,Haryana,Senior Citizen
3,M,Delhi,Punjabi,Data Scientist,Union Territory,Young
64,M,Kasauli,Chinese,Government Job,Himachal Pradesh,Senior Citizen
38,F,Jaisalmer,North Indian,Business,Rajasthan,Working
28,F,Lucknow,Continental,Business,Uttar Pradesh,Working
69,F,Baramulla,Lebanese,CA,Jammu,Senior Citizen
72,M,Rorkee,Chinese,Data Scientist,Uttarakhand,Senior Citizen
38,F,Rajgir,Mughlai,Software Engineer,Bihar,Working
54,M,Nainital,Street Food,Data Scientist,Uttarakhand,Working
72,F,Srinagar,Mughlai,Service,Jammu,Senior Citizen
38,F,Kullu,Punjabi,MNC,Himachal Pradesh,Working
92,M,Nainital,Mughlai,Self Employed,Uttarakhand,Senior Citizen
74,M,Dras,Lebanese,Government Job,Jammu,Senior Citizen
5,F,Nainital,Street Food,Software Engineer,Uttarakhand,Young
59,F,Ghaziabad,Mughlai,Service,Uttar Pradesh,Working
20,M,Bodh Gaya,North Indian,CA,Bihar,Young
99,F,Khannauj,Punjabi,Teacher,Uttar Pradesh,Senior Citizen
33,F,Bodh Gaya,Continental,MNC,Bihar,Working
88,F,Pathankot,Italian,Service,Punjab,Senior Citizen
20,M,Varanasi,Italian,CA,Uttar Pradesh,Young
71,F,Chittorgarh,Chinese,Self Employed,Rajasthan,Senior Citizen
76,M,Kargil,Italian,Business,Jammu,Senior Citizen
45,F,Rajauri,Punjabi,Government Job,Jammu,Working
90,M,Kanpur,Thai,Business,Uttar Pradesh,Senior Citizen
76,M,Nainital,Lebanese,Government Job,Uttarakhand,Senior Citizen
46,F,Kasauli,Street Food,MNC,Himachal Pradesh,Working
32,M,Rohtak,North Indian,Teacher,Haryana,Working
55,F,Dras,Chinese,Software Engineer,Jammu,Working
45,M,Jaipur,Mughlai,Bank,Rajasthan,Working
74,F,Haridwar,North Indian,Self Employed,Uttarakhand,Senior Citizen
14,F,Chandigarh,Italian,Service,Union Territory,Young
